moneda_base,moneda_destino,valor_compra,valor_venta,fecha_hora,fecha_carga
SGD,USD,0.744014,0.744075,2025-04-01 16:36:53,2025-04-01 21:24:28
USD,ALL,89.6923,94.3252,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,AMD,362.94,418.533,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,ANG,1.7441,1.83631,2025-03-31 21:00:00,2025-04-01 21:24:28
USD,ARS,1072.87,1072.87,2025-04-01 16:36:52,2025-04-01 21:24:28
USD,AUD,1.59408,1.59433,2025-04-01 16:37:06,2025-04-01 21:24:28
USD,BBD,1.97379,2.06644,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,BDT,119.919,123.255,2025-04-01 11:19:05,2025-04-01 21:24:28
USD,BGN,1.8003,1.81991,2025-04-01 16:32:40,2025-04-01 21:24:28
USD,BHD,0.374117,0.379674,2025-04-01 16:31:34,2025-04-01 21:24:28
USD,BIF,2947.54,2999.43,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,BND,1.32066,1.36699,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,BOB,6.72865,7.09928,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,BSD,0.993982,1.00695,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,BWP,13.5864,13.8829,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,BZD,1.96332,2.05597,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,CLP,943.1,944.73,2025-04-01 16:33:31,2025-04-01 21:24:28
USD,CNY,7.2567,7.2587,2025-03-31 21:00:00,2025-04-01 21:24:28
USD,COP,4168.08,4171.58,2025-04-01 16:36:43,2025-04-01 21:24:28
USD,CRC,487.448,513.391,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,CUP,23.9842,24.0398,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,DJF,178.049,178.067,2025-03-19 01:47:24,2025-04-01 21:24:28
USD,DOP,62.5686,64.0511,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,DZD,133.353,134.353,2025-04-01 16:31:35,2025-04-01 21:24:28
USD,EGP,50.5475,50.5938,2025-04-01 16:36:58,2025-04-01 21:24:28
USD,ETB,132.214,132.677,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,FJD,2.3218,2.3491,2025-03-31 22:00:01,2025-04-01 21:24:28
USD,GBP,0.77384,0.77391,2025-04-01 16:36:41,2025-04-01 21:24:28
USD,GEL,2.73,2.79,2025-03-31 21:00:00,2025-04-01 21:24:28
USD,GHS,15.4846,15.5309,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,GMD,70.0,73.0,2025-03-31 21:00:00,2025-04-01 21:24:28
USD,GNF,8574.0,8740.77,2025-04-01 11:19:05,2025-04-01 21:24:28
USD,GTQ,7.53547,7.90609,2025-04-01 11:19:04,2025-04-01 21:24:28
